cms_certification_number_ccn,provider_name,provider_address,citytown,state,zip_code,survey_date,survey_type,deficiency_prefix,deficiency_category,deficiency_tag_number,deficiency_description,scope_severity_code,deficiency_corrected,correction_date,inspection_cycle,standard_deficiency,complaint_deficiency,infection_control_inspection_deficiency,citation_under_idr,citation_under_iidr,location,processing_date
415002,Hattie Ide Chaffee Home,200 Wampanoag Trail,East Providence,RI,02915,2025-06-20,Health,F,Resident Assessment and Care Planning Deficiencies,0658,Ensure services provided by the nursing facility meet professional standards of quality.,D,"Deficient, Provider has date of correction",2025-07-18,1,Y,N,N,N,N,"200 Wampanoag Trail,East Providence,RI,02915",2026-06-01
415002,Hattie Ide Chaffee Home,200 Wampanoag Trail,East Providence,RI,02915,2025-06-20,Health,F,Quality of Life and Care Deficiencies,0690,"Provide appropriate care for residents who are continent or incontinent of bowel/bladder, appropriate catheter care,  and appropriate care  to prevent urinary tract infections.",D,"Deficient, Provider has date of correction",2025-07-18,1,Y,N,N,N,N,"200 Wampanoag Trail,East Providence,RI,02915",2026-06-01
415002,Hattie Ide Chaffee Home,200 Wampanoag Trail,East Providence,RI,02915,2025-06-20,Health,F,Nutrition and Dietary Deficiencies,0812,"Procure food from sources approved or considered satisfactory and store, prepare, distribute and serve food in accordance with professional standards.",F,"Deficient, Provider has date of correction",2025-07-18,1,Y,N,N,N,N,"200 Wampanoag Trail,East Providence,RI,02915",2026-06-01
415002,Hattie Ide Chaffee Home,200 Wampanoag Trail,East Providence,RI,02915,2025-06-20,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2025-07-18,1,Y,N,N,N,N,"200 Wampanoag Trail,East Providence,RI,02915",2026-06-01
415002,Hattie Ide Chaffee Home,200 Wampanoag Trail,East Providence,RI,02915,2025-06-20,Health,F,Administration Deficiencies,0940,"Develop, implement, and/or maintain an effective training program for all new and existing staff members.",D,"Deficient, Provider has date of correction",2025-07-18,1,Y,N,N,N,N,"200 Wampanoag Trail,East Providence,RI,02915",2026-06-01
415002,Hattie Ide Chaffee Home,200 Wampanoag Trail,East Providence,RI,02915,2024-09-09,Health,F,Resident Rights Deficiencies,0552,"Ensure that residents are fully informed and understand their health status, care and treatments.",D,"Deficient, Provider has date of correction",2024-09-25,2,N,Y,N,N,N,"200 Wampanoag Trail,East Providence,RI,02915",2026-06-01
415002,Hattie Ide Chaffee Home,200 Wampanoag Trail,East Providence,RI,02915,2024-06-26,Health,F,Resident Assessment and Care Planning Deficiencies,0658,Ensure services provided by the nursing facility meet professional standards of quality.,D,"Deficient, Provider has date of correction",2024-07-15,2,N,Y,N,N,N,"200 Wampanoag Trail,East Providence,RI,02915",2026-06-01
415002,Hattie Ide Chaffee Home,200 Wampanoag Trail,East Providence,RI,02915,2024-06-17,Health,F,Resident Assessment and Care Planning Deficiencies,0658,Ensure services provided by the nursing facility meet professional standards of quality.,E,"Deficient, Provider has date of correction",2024-07-15,2,Y,N,N,N,N,"200 Wampanoag Trail,East Providence,RI,02915",2026-06-01
415002,Hattie Ide Chaffee Home,200 Wampanoag Trail,East Providence,RI,02915,2024-06-17,Health,F,Quality of Life and Care Deficiencies,0684,"Provide appropriate treatment and care according to orders, resident’s preferences and goals.",D,"Deficient, Provider has date of correction",2024-07-15,2,Y,N,N,N,N,"200 Wampanoag Trail,East Providence,RI,02915",2026-06-01
415002,Hattie Ide Chaffee Home,200 Wampanoag Trail,East Providence,RI,02915,2024-06-17,Health,F,Quality of Life and Care Deficiencies,0689,Ensure that a nursing home area is free from accident hazards and provides adequate supervision to prevent accidents.,J,"Deficient, Provider has date of correction",2024-07-15,2,Y,N,N,N,N,"200 Wampanoag Trail,East Providence,RI,02915",2026-06-01
415002,Hattie Ide Chaffee Home,200 Wampanoag Trail,East Providence,RI,02915,2024-06-17,Health,F,Nursing and Physician Services Deficiencies,0710,Obtain a doctor's order to admit a resident and ensure the resident is under a doctor's care.,D,"Deficient, Provider has date of correction",2024-07-15,2,Y,N,N,N,N,"200 Wampanoag Trail,East Providence,RI,02915",2026-06-01
415002,Hattie Ide Chaffee Home,200 Wampanoag Trail,East Providence,RI,02915,2024-06-17,Health,F,Nursing and Physician Services Deficiencies,0730,Observe each nurse aide's job performance and give regular training.,F,"Deficient, Provider has date of correction",2024-07-15,2,Y,N,N,N,N,"200 Wampanoag Trail,East Providence,RI,02915",2026-06-01
415002,Hattie Ide Chaffee Home,200 Wampanoag Trail,East Providence,RI,02915,2024-06-17,Health,F,Pharmacy Service Deficiencies,0761,"Ensure drugs and biologicals used in the facility are labeled in accordance with currently accepted professional principles; and all drugs and biologicals must be stored in locked compartments, separately locked, compartments for controlled drugs.",E,"Deficient, Provider has date of correction",2024-07-15,2,Y,N,N,N,N,"200 Wampanoag Trail,East Providence,RI,02915",2026-06-01
415002,Hattie Ide Chaffee Home,200 Wampanoag Trail,East Providence,RI,02915,2024-06-17,Health,F,Nutrition and Dietary Deficiencies,0805,Ensure each resident receives and the facility provides food prepared in a form designed to meet individual needs.,D,"Deficient, Provider has date of correction",2024-07-15,2,Y,N,N,N,N,"200 Wampanoag Trail,East Providence,RI,02915",2026-06-01
415002,Hattie Ide Chaffee Home,200 Wampanoag Trail,East Providence,RI,02915,2024-06-17,Health,F,Nutrition and Dietary Deficiencies,0812,"Procure food from sources approved or considered satisfactory and store, prepare, distribute and serve food in accordance with professional standards.",F,"Deficient, Provider has date of correction",2024-07-15,2,Y,N,N,N,N,"200 Wampanoag Trail,East Providence,RI,02915",2026-06-01
415002,Hattie Ide Chaffee Home,200 Wampanoag Trail,East Providence,RI,02915,2024-06-17,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has date of correction",2024-07-15,2,Y,N,N,N,N,"200 Wampanoag Trail,East Providence,RI,02915",2026-06-01
415002,Hattie Ide Chaffee Home,200 Wampanoag Trail,East Providence,RI,02915,2024-01-10,Health,F,Resident Assessment and Care Planning Deficiencies,0658,Ensure services provided by the nursing facility meet professional standards of quality.,D,"Deficient, Provider has date of correction",2024-02-09,3,N,Y,N,N,N,"200 Wampanoag Trail,East Providence,RI,02915",2026-06-01
415002,Hattie Ide Chaffee Home,200 Wampanoag Trail,East Providence,RI,02915,2023-05-19,Health,F,Quality of Life and Care Deficiencies,0684,"Provide appropriate treatment and care according to orders, resident’s preferences and goals.",E,"Deficient, Provider has date of correction",2023-06-18,3,Y,N,N,N,N,"200 Wampanoag Trail,East Providence,RI,02915",2026-06-01
415002,Hattie Ide Chaffee Home,200 Wampanoag Trail,East Providence,RI,02915,2023-05-19,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2023-06-18,3,Y,N,N,N,N,"200 Wampanoag Trail,East Providence,RI,02915",2026-06-01
415004,Royal of Westerly Nursing Center,79 Beach Street,Westerly,RI,02891,2026-02-19,Health,F,Resident Rights Deficiencies,0552,"Ensure that residents are fully informed and understand their health status, care and treatments.",E,"Deficient, Provider has date of correction",2026-03-27,1,Y,N,N,N,N,"79 Beach Street,Westerly,RI,02891",2026-06-01
415004,Royal of Westerly Nursing Center,79 Beach Street,Westerly,RI,02891,2026-02-19,Health,F,Resident Assessment and Care Planning Deficiencies,0658,Ensure services provided by the nursing facility meet professional standards of quality.,E,"Deficient, Provider has date of correction",2026-03-27,1,Y,N,N,N,N,"79 Beach Street,Westerly,RI,02891",2026-06-01
