category,citation_count,recurring_count,avg_severity_rank,recurring_rate,pct_of_total_citations
Care Planning & Assessment,679,267,2.11,0.393,33.1
Medication Management,283,90,2.16,0.318,13.8
Infection Control,272,108,2.08,0.397,13.3
Administrative & Reporting,169,43,2.0,0.254,8.2
Dignity & Resident Rights,143,15,1.94,0.105,7.0
Nutrition & Hydration,115,19,2.23,0.165,5.6
Abuse & Neglect Prevention,108,29,2.32,0.269,5.3
Fall Risk & Accident Prevention,100,47,2.83,0.47,4.9
Staffing & Supervision,89,16,2.25,0.18,4.3
Facility & Environment Safety,70,10,2.06,0.143,3.4
Other,24,0,2.04,0.0,1.2
